Kansas State University Weather Data Library (WDL) Issued NWS Shef Codes,,,,,,,,,,,
Last Update:4/20/2015,,,,,,,,,,,
Admin Unit,SHEF ID,Station Name,County,Latitude,Longitude,Elevation (ft),Elevation (meters),OP. Name,Description,Flags,WFO
KSRE,OAWK1,Ottawa,Franklin,38.53914,-95.2481,982,299,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,top
KSRE,RSVK1,Rossville,Shawnee,39.11638,-95.92598,907,276,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,top
KSRE,SCAK1,Scandia,Republic,39.82864,-97.83894,1500,457,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,top
KSRE,SLKK1,Silver Lake,Shawnee,39.07788,-95.77059,888,271,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,top
KSRE,STJK1,St. John,Stafford,37.9571,-98.74813,1925,587,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,ddc
KSRE,HCYK1,Hill City,Graham,39.37203,-99.83051,2181,665,Hill City,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,gld
KSRE,SPUK1,Spearville,Ford,37.902454,-99.869524,2320,707,Spearville,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,ddc
KSRE,TNEK1,Tribune 6NE,Greeley,38.53041,-101.66434,3604,1098,Tribune 6NE,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,gld
KSRE,HIMK1,Hiawatha,Brown,39.84238,-95.48187,1011,308,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,top
KSRE,RKFK1,Rocky Ford,Riley,39.23164,-96.58049,1050,320,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,top
KSRE,HSVK1,Haysville,Segwick,37.519775,-97.312143,1240,378,Haysville,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,ict
KSRE,OLZK1,Olathe,Johnson,38.88303,-94.9911,935,285,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,eax
KSRE,LCRK1,La Crosse,Rush,38.54097,-99.28051,2056,627,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,ddc
KSRE,,Ness City,Ness,38.386119,-99.855547,2224,678,,"10ft tripod; CR1000 datalogger with 5min/hourly/daily data, IP based data connection",,ddc
