N_rate,yield_kg.ha
50,1089
50,1590
50,1546
50,1156
50,1955
50,1870
50,1720
50,2460
60,1500
60,2120
60,2572
60,1960
60,2130
60,2454
60,2165
60,1910
70,2600
70,2361
70,1972
70,2215
70,2759
70,2929
70,2818
70,2634
80,3042
80,2879
80,2071
80,2466
80,2554
80,2059
80,2030
80,2200
90,2265
90,2382
90,2826
90,3194
90,3049
90,2500
90,2541
90,2952
