Exp,Parcela,Bloque,Trat,Anio,Tipo_Exp,Bio_final_kg_ha,Rend_PH_kg_ha
53,2,1,N,2018,FC,13856.1320754717,8230.31880286272
53,3,1,NS,2018,FC,13537.7358490566,8040.55519410106
53,4,1,Control,2018,FC,7370.28301886793,4287.30210366515
53,5,2,N,2018,FC,11709.9056603774,6884.35263500325
53,6,2,NS,2018,FC,12900.9433962264,7487.52981999566
53,7,2,Control,2018,FC,7641.50943396226,4586.85751463891
53,8,2,S,2018,FC,7004.71698113208,4326.61027976578
53,9,3,Control,2018,FC,7629.71698113208,4388.96117978746
53,10,3,S,2018,FC,8514.15094339623,5194.10106267621
53,11,3,N,2018,FC,13679.2452830189,8069.01973541531
53,12,3,NS,2018,FC,11886.7924528302,7048.36261114725
54,1,1,S,2018,FC,8790.6976744186,5295.37556802995
54,2,1,N,2018,FC,9000,4417.26811013099
54,3,1,NS,2018,FC,9802.32558139535,5457.09703287892
54,4,1,Control,2018,FC,8360.46511627907,5220.5292702486
54,5,2,N,2018,FC,8720.93023255814,4640.4704624432
54,6,2,NS,2018,FC,9546.51162790698,5450.41432771987
54,7,2,Control,2018,FC,7767.44186046512,4752.73990911522
54,8,2,S,2018,FC,7337.20930232558,4517.50868751671
54,9,3,Control,2018,FC,8790.6976744186,5507.88559208768
54,10,3,S,2018,FC,10081.3953488372,6021.1173483026
54,11,3,N,2018,FC,7872.09302325581,4299.65249933173
54,12,3,NS,2018,FC,8883.72093023256,5049.45201817696
55,1,1,S,2018,FC,2809.52380952381,1678.16091954023
55,2,1,N,2018,FC,8785.71428571429,4748.7684729064
55,3,1,NS,2018,FC,9900,5371.10016420361
55,4,1,Control,2018,FC,3790.47619047619,2199.23371647509
55,5,2,N,2018,FC,9328.57142857143,5037.76683087028
55,6,2,NS,2018,FC,9128.57142857143,4847.29064039408
55,7,2,Control,2018,FC,4057.14285714286,2548.44006568144
55,8,2,S,2018,FC,2838.09523809524,1621.23700054734
55,9,3,Control,2018,FC,2504.76190476191,1402.29885057471
55,10,3,S,2018,FC,2342.85714285714,1259.9890530925
55,11,3,N,2018,FC,9028.57142857143,4945.81280788177
55,12,3,NS,2018,FC,10928.5714285714,6211.82266009852
55,13,1,Productor,2018,FC,6228.57142857143,3623.973727422
55,14,2,Productor,2018,FC,6785.71428571429,4108.37438423645
56,1,1,S,2018,FC,6181.592039801,3255.27534740092
56,2,1,N,2018,FC,12574.6268656716,5874.36381311831
56,3,1,NS,2018,FC,13420.3980099502,6566.30639903928
56,4,1,Control,2018,FC,9340.7960199005,5038.02824955681
56,5,2,N,2018,FC,12189.0547263682,6114.54223137187
56,6,2,NS,2018,FC,11131.8407960199,5431.17744610282
56,7,2,Control,2018,FC,7835.82089552239,4114.48504603419
56,8,2,S,2018,FC,9502.48756218906,5028.02081546291
56,9,3,Control,2018,FC,7388.05970149254,3910.04746383027
56,10,3,S,2018,FC,10485.0746268657,5333.9623720478
56,11,3,N,2018,FC,11865.671641791,6097.38663006805
56,12,3,NS,2018,FC,12587.0646766169,6729.28461142563
57,1,1,S,2018,FC,11628.5714285714,6844.0065681445
57,2,1,N,2018,FC,13628.5714285714,7866.99507389162
57,3,1,NS,2018,FC,14328.5714285714,8387.52052545155
57,4,1,Control,2018,FC,11828.5714285714,6814.44991789819
57,5,2,N,2018,FC,14828.5714285714,8446.63382594416
57,6,2,NS,2018,FC,14200,8558.29228243021
57,7,2,Control,2018,FC,11985.7142857143,7180.62397372742
57,8,2,S,2018,FC,13157.1428571429,7881.77339901477
57,9,3,Control,2018,FC,11185.7142857143,6770.11494252873
57,10,3,S,2018,FC,11528.5714285714,6909.68801313628
57,11,3,N,2018,FC,14300,8630.54187192118
57,12,3,NS,2018,FC,13542.8571428571,8226.60098522167
58,1,1,S,2018,FC,10628.5714285714,5786.53530377668
58,2,1,N,2018,FC,12957.1428571429,6502.46305418719
58,3,1,NS,2018,FC,12114.2857142857,6532.01970443349
58,4,1,Control,2018,FC,10871.4285714286,5980.29556650246
58,5,2,N,2018,FC,13385.7142857143,6876.84729064039
58,6,2,NS,2018,FC,11842.8571428571,6454.84400656814
58,7,2,Control,2018,FC,10214.2857142857,6224.95894909688
58,8,2,S,2018,FC,11642.8571428571,6665.02463054187
58,9,3,Control,2018,FC,9714.28571428572,5512.31527093596
58,10,3,S,2018,FC,13371.4285714286,7840.7224958949
58,11,3,N,2018,FC,11942.8571428571,6683.08702791461
58,12,3,NS,2018,FC,13257.1428571429,6839.08045977011
59,4,1,Control,2018,FC,NA,4272.72727272728
59,2,1,N,2018,FC,NA,5590.90909090909
59,3,1,NS,2018,FC,NA,6463.63636363637
59,1,1,S,2018,FC,NA,4390.90909090909
59,8,2,Control,2018,FC,NA,3963.63636363637
59,6,2,N,2018,FC,NA,6045.45454545454
59,7,2,NS,2018,FC,NA,5818.18181818182
59,5,2,S,2018,FC,NA,4272.72727272728
59,12,3,Control,2018,FC,NA,3554.54545454546
59,10,3,N,2018,FC,NA,5054.54545454546
59,11,3,NS,2018,FC,NA,5472.72727272728
59,9,3,S,2018,FC,NA,3954.54545454546
59,16,4,Control,2018,FC,NA,3709.09090909091
59,14,4,N,2018,FC,NA,5832
59,15,4,NS,2018,FC,NA,5972.72727272728
59,13,4,S,2018,FC,NA,5454.54545454546
